title,price,old_price,discount_offer,image_urls,images
складной Stern Compact 24,16199,"17,999","16,199",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/6d5/176_188_1/27508530299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/6d5/176_188_1/27508530299.jpg', 'path': 'full/f7cf1a21551af032c166bb97274861a0153ff537.jpg', 'checksum': '916d54712002ec2174c9f08c17cb9b65'}]"
складной Tern Link C8 20,34999,,,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/62e/176_188_1/31254460299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/62e/176_188_1/31254460299.jpg', 'path': 'full/c0dbb6526abc2c98a82966c1c74c0790a164808e.jpg', 'checksum': 'd2de2e61a138c5cc91a46b965a7594bd'}]"
горный Trek MARLIN 4 29,33999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3f3/176_188_1/27888770299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/3f3/176_188_1/27888770299.jpg', 'path': 'full/70becc2ac1c21f33dba2c251a47854f14c8565db.jpg', 'checksum': 'edcee54c6a2c8e708f650f99ac52ba01'}]"
горный CUBE Aim Pro,41999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/926/176_188_1/27965310299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/926/176_188_1/27965310299.jpg', 'path': 'full/47f32a061b14b4109a90906c8c08c7ad9db5e849.jpg', 'checksum': '3b3347d62e856ed22b97e70b5dc0db51'}]"
горный женский CUBE Access Ws Eaz,42999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/520/176_188_1/27757040299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/520/176_188_1/27757040299.jpg', 'path': 'full/36e734c537554ec9e81f86fb7ab01ff6615bfc63.jpg', 'checksum': '31f0a85ad4a99420555be8c2b3e9ddc8'}]"
горный Scott Aspect 970,38999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f92/176_188_1/31253920299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/f92/176_188_1/31253920299.jpg', 'path': 'full/498552152aa30a210a3a19c10de7fabb3afe887b.jpg', 'checksum': 'a8985a22a679c92734437e4414e81141'}]"
BMX KHE Arsenic 16,20999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b43/176_188_1/27504290299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/b43/176_188_1/27504290299.jpg', 'path': 'full/d2010392fb78399f77537aedf1cd14abf2f40eab.jpg', 'checksum': '7afca1b0c3805cc0007b778fce218115'}]"
горный женский CUBE Access Ws Eaz,42999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27757070299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/dae/176_188_1/27757070299.jpg', 'path': 'full/65f1db8c5a37d724b62f4dc6bdfe1eaf572bf375.jpg', 'checksum': '3deddf57ad5c6eef32fd1ca17e88e984'}]"
BMX KHE LENNY,17999,nan,0,https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/2df/176_188_1/27625240299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/2df/176_188_1/27625240299.jpg', 'path': 'full/dc1c62c912f7a6f5bad0bf7280c1f11c3e240eb6.jpg', 'checksum': 'd9ab3f77c4ec3de34b5a889b17c48f34'}]"
складной Stern Travel 20,7199,"7,999","7,199",https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/bc3/176_188_1/28459320299.jpg,"[{'url': 'https://s20050.cdn.ngenix.net/upload/resize_cache/iblock/bc3/176_188_1/28459320299.jpg', 'path': 'full/fd4980d906632c5a533596144e52c4b53ae4a515.jpg', 'checksum': '02c6c95b04b9a8e5f1ae52a746bc2ca9'}]"
